archetype,hazard_level,Mbar,Dbar,Ebar
smrf_9_ii,hz_20,7.2474575,4.642721,1.7460879
smrf_9_ii,hz_21,7.25011,4.485285,1.8197113
smrf_9_ii,hz_22,7.2522087,4.3708754,1.8780587
smrf_9_ii,hz_23,7.2538924,4.2850523,1.9249212
smrf_9_ii,hz_24,7.2562323,4.174002,1.9900684
smrf_9_ii,hz_25,7.258819,4.061382,2.0621467
smrf_9_ii,hz_26,7.268719,3.7118251,2.3386948
smrf_9_ii,hz_27,7.28474,3.338147,2.7930057
smrf_9_ii,hz_28,7.296025,3.1648357,3.1250556
smrf_9_ii,hz_29,7.3073153,3.0385213,3.4765227
smrf_9_iv,hz_1,6.2840405,47.616203,-0.38530666
smrf_9_iv,hz_2,6.6582394,29.656725,-0.06127134
smrf_9_iv,hz_3,6.8488994,22.78023,0.14843123
smrf_9_iv,hz_4,6.9565387,18.671396,0.29436272
smrf_9_iv,hz_5,7.025145,15.629733,0.41778794
smrf_9_iv,hz_6,7.0697284,13.317596,0.53073955
smrf_9_iv,hz_7,7.101468,11.430103,0.6460646
smrf_9_iv,hz_8,7.1229367,10.010144,0.7556245
smrf_9_iv,hz_9,7.1369057,9.020727,0.8495902
smrf_9_iv,hz_10,7.1500278,8.051598,0.9620279
smrf_9_iv,hz_11,7.158171,7.4388885,1.04748
smrf_9_iv,hz_12,7.166499,6.813265,1.150438
smrf_9_iv,hz_13,7.172695,6.3557615,1.2389464
smrf_9_iv,hz_14,7.1770773,6.0401835,1.3083658
smrf_9_iv,hz_15,7.182929,5.633722,1.4105881
smrf_9_iv,hz_16,7.187009,5.363282,1.488617
smrf_9_iv,hz_17,7.190013,5.172165,1.5497454
smrf_9_iv,hz_18,7.1939945,4.930449,1.6356902
smrf_9_iv,hz_19,7.1975493,4.7266755,1.7172453
smrf_9_iv,hz_20,7.2002034,4.5822806,1.7811631
smrf_9_iv,hz_21,7.202239,4.4761157,1.8319768
smrf_9_iv,hz_22,7.204977,4.33965,1.902826
smrf_9_iv,hz_23,7.2077923,4.206916,1.9787425
smrf_9_iv,hz_24,7.209964,4.109711,2.039513
smrf_9_iv,hz_25,7.211673,4.036319,2.088758
smrf_9_iv,hz_26,7.220758,3.6894186,2.3743517
smrf_9_iv,hz_27,7.2319427,3.3457901,2.8071866
smrf_9_iv,hz_28,7.238514,3.1671498,3.1604166
smrf_9_iv,hz_29,7.242547,3.0293334,3.5709658
scbf_3_ii,hz_1,6.1113763,36.553944,-0.40344644
scbf_3_ii,hz_2,6.3887677,23.35383,0.14600389
scbf_3_ii,hz_3,6.525673,18.984886,0.45806092
scbf_3_ii,hz_4,6.6164274,16.24522,0.6867747
scbf_3_ii,hz_5,6.677277,14.399618,0.8606259
scbf_3_ii,hz_6,6.7229557,12.995378,1.0101275
scbf_3_ii,hz_7,6.762092,11.777166,1.1578716
scbf_3_ii,hz_8,6.787255,10.987445,1.2658377
scbf_3_ii,hz_9,6.8154936,10.097626,1.4023451
scbf_3_ii,hz_10,6.834064,9.51278,1.5024706
scbf_3_ii,hz_11,6.8520656,8.9487505,1.6082438
scbf_3_ii,hz_12,6.869478,8.409066,1.7190605
scbf_3_ii,hz_13,6.881556,8.040261,1.8007765
scbf_3_ii,hz_14,6.8950357,7.6361513,1.8964032
scbf_3_ii,hz_15,6.9093146,7.21924,2.00229
scbf_3_ii,hz_16,6.9198174,6.9213676,2.082835
scbf_3_ii,hz_17,6.9278564,6.699052,2.1458366
scbf_3_ii,hz_18,6.9422884,6.3132734,2.2616484
scbf_3_ii,hz_19,6.953464,6.0268965,2.3536625
scbf_3_ii,hz_20,6.962026,5.8149085,2.4256384
scbf_3_ii,hz_21,6.9694667,5.635903,2.4893599
scbf_3_ii,hz_22,6.982043,5.3441377,2.600037
scbf_3_ii,hz_23,6.991616,5.130843,2.6873903
scbf_3_ii,hz_24,6.999038,4.9704785,2.7574413
scbf_3_ii,hz_25,7.0048833,4.8471465,2.8143232
scbf_3_ii,hz_26,7.041996,4.118556,3.2311757
scbf_3_ii,hz_27,7.081721,3.4105175,3.9506047
scbf_3_ii,hz_28,7.0884423,3.2880888,4.160255
scbf_3_ii,hz_29,7.0902653,3.2534337,4.2291327
scbf_3_iv,hz_1,6.1113763,36.553944,-0.40344644
scbf_3_iv,hz_2,6.3887677,23.35383,0.14600389
scbf_3_iv,hz_3,6.525673,18.984886,0.45806092
scbf_3_iv,hz_4,6.6164274,16.24522,0.6867747
scbf_3_iv,hz_5,6.677277,14.399618,0.8606259
scbf_3_iv,hz_6,6.7229557,12.995378,1.0101275
scbf_3_iv,hz_7,6.762092,11.777166,1.1578716
scbf_3_iv,hz_8,6.787255,10.987445,1.2658377
