,Tcond,M_bar,Rjb,eps_bar,Vs30,outputDir,outputFile,code,hazard_level
70,1.0,7.172695,6.3557615,1.2389464,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_13.txt,smrf_6_ii,13
71,1.0,7.1770773,6.0401835,1.3083658,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_14.txt,smrf_6_ii,14
72,1.0,7.182929,5.633722,1.4105881,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_15.txt,smrf_6_ii,15
73,1.0,7.187009,5.363282,1.488617,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_16.txt,smrf_6_ii,16
74,1.0,7.190013,5.172165,1.5497454,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_17.txt,smrf_6_ii,17
75,1.0,7.1939945,4.930449,1.6356902,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_18.txt,smrf_6_ii,18
76,1.0,7.1975493,4.7266755,1.7172453,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_19.txt,smrf_6_ii,19
77,1.0,7.2002034,4.5822806,1.7811631,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_20.txt,smrf_6_ii,20
78,1.0,7.202239,4.4761157,1.8319768,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_21.txt,smrf_6_ii,21
79,1.0,7.204977,4.33965,1.902826,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_22.txt,smrf_6_ii,22
80,1.0,7.2077923,4.206916,1.9787425,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_23.txt,smrf_6_ii,23
81,1.0,7.209964,4.109711,2.039513,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_24.txt,smrf_6_ii,24
82,1.0,7.211673,4.036319,2.088758,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_25.txt,smrf_6_ii,25
83,1.0,7.220758,3.6894186,2.3743517,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_26.txt,smrf_6_ii,26
84,1.0,7.2319427,3.3457901,2.8071866,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_27.txt,smrf_6_ii,27
85,1.0,7.238514,3.1671498,3.1604166,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_28.txt,smrf_6_ii,28
86,1.0,7.242547,3.0293334,3.5709658,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_29.txt,smrf_6_ii,29
87,0.75,6.247858,45.136467,-0.3565718,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_1.txt,smrf_6_iv,1
88,0.75,6.601211,28.22232,0.0051185405,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_2.txt,smrf_6_iv,2
89,0.75,6.782385,21.991953,0.22856997,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_3.txt,smrf_6_iv,3
90,0.75,6.890027,18.211988,0.38277256,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_4.txt,smrf_6_iv,4
91,0.75,6.9627876,15.372036,0.5128593,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_5.txt,smrf_6_iv,5
92,0.75,7.009892,13.321918,0.62350655,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_6.txt,smrf_6_iv,6
93,0.75,7.0471525,11.54277,0.740758,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_7.txt,smrf_6_iv,7
94,0.75,7.0727534,10.22772,0.8480374,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_8.txt,smrf_6_iv,8
95,0.75,7.090749,9.257493,0.94404024,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_9.txt,smrf_6_iv,9
96,0.75,7.1066875,8.36997,1.0496627,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_10.txt,smrf_6_iv,10
97,0.75,7.1179605,7.7302175,1.1401514,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_11.txt,smrf_6_iv,11
98,0.75,7.127195,7.2020497,1.2268682,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_12.txt,smrf_6_iv,12
99,0.75,7.136213,6.6862597,1.325154,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_13.txt,smrf_6_iv,13
100,0.75,7.1422005,6.3457866,1.3993614,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_14.txt,smrf_6_iv,14
101,0.75,7.147895,6.0249395,1.477768,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_15.txt,smrf_6_iv,15
102,0.75,7.153868,5.6929297,1.5695709,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_16.txt,smrf_6_iv,16
103,0.75,7.158085,5.4621444,1.6412101,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_17.txt,smrf_6_iv,17
104,0.75,7.161218,5.292929,1.6986259,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_18.txt,smrf_6_iv,18
105,0.75,7.1654243,5.069137,1.7820885,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_19.txt,smrf_6_iv,19
106,0.75,7.1691117,4.876243,1.8622073,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_20.txt,smrf_6_iv,20
107,0.75,7.1718063,4.737295,1.9255123,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_21.txt,smrf_6_iv,21
108,0.75,7.1738334,4.633797,1.976195,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_22.txt,smrf_6_iv,22
109,0.75,7.175699,4.5392447,2.0254729,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_23.txt,smrf_6_iv,23
110,0.75,7.1785917,4.393816,2.1076055,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_24.txt,smrf_6_iv,24
111,0.75,7.180726,4.287048,2.1735487,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_25.txt,smrf_6_iv,25
112,0.75,7.1880426,3.9156141,2.453019,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_26.txt,smrf_6_iv,26
113,0.75,7.1943254,3.500424,2.9211051,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_27.txt,smrf_6_iv,27
114,0.75,7.193978,3.294119,3.276066,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_28.txt,smrf_6_iv,28
115,0.75,7.188404,3.1357424,3.6610725,260.0,extra/structural_analysis/results/site_hazard/smrf_6_iv/,required_records_hz_29.txt,smrf_6_iv,29
116,1.5,6.356624,51.66111,-0.469035,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_1.txt,smrf_9_ii,1
117,1.5,6.760267,32.739727,-0.18403248,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_2.txt,smrf_9_ii,2
118,1.5,6.960904,24.682968,0.025551153,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_3.txt,smrf_9_ii,3
119,1.5,7.0637264,19.994642,0.17963709,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_4.txt,smrf_9_ii,4
120,1.5,7.1258554,16.43331,0.3214436,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_5.txt,smrf_9_ii,5
121,1.5,7.1605277,13.884077,0.4473513,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_6.txt,smrf_9_ii,6
122,1.5,7.1808343,12.036664,0.56079984,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_7.txt,smrf_9_ii,7
123,1.5,7.195781,10.41965,0.68478,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_8.txt,smrf_9_ii,8
124,1.5,7.2054696,9.232702,0.79804736,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_9.txt,smrf_9_ii,9
125,1.5,7.212143,8.362863,0.8984464,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_10.txt,smrf_9_ii,10
126,1.5,7.2180576,7.5815444,1.0061406,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_11.txt,smrf_9_ii,11
127,1.5,7.2225237,7.006621,1.099665,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_12.txt,smrf_9_ii,12
128,1.5,7.226383,6.5349073,1.1883403,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_13.txt,smrf_9_ii,13
129,1.5,7.230381,6.081914,1.2866355,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_14.txt,smrf_9_ii,14
